User_ID,Gender,Age,Occupation
1000458,M,51-55,16
1000459,F,18-25,4
1000460,M,46-50,18
1000461,M,51-55,7
1000462,M,18-25,16
1000463,M,26-35,7
1000464,F,18-25,4
1000465,M,18-25,19
1000466,M,26-35,5
1000467,F,36-45,3
1000468,F,0-17,10
1000469,M,36-45,6
1000470,F,0-17,10
1000471,M,36-45,7
1000473,F,18-25,4
1000474,M,26-35,17
1000476,M,36-45,0
1000477,M,36-45,14
1000478,M,51-55,16
1000479,M,26-35,12
1000480,F,18-25,4
1000481,M,46-50,7
1000482,M,26-35,14
1000483,M,18-25,12
1000484,F,0-17,10
1000486,M,55+,0
1000487,F,36-45,17
1000490,M,0-17,10
1000492,M,26-35,12
1000493,M,51-55,7
1000496,M,18-25,4
1000498,M,36-45,17
1000499,F,26-35,1
1000500,F,18-25,2
1000501,M,26-35,2
1000502,M,36-45,6
1000503,M,36-45,11
1000504,M,26-35,2
1000505,M,36-45,17
1000506,M,26-35,16
1000507,F,26-35,0
1000508,M,26-35,12
1000509,M,26-35,2
1000510,M,18-25,12
1000511,F,46-50,4
1000513,M,26-35,0
1000514,M,26-35,2
1000515,M,26-35,1
1000516,F,55+,14
1000517,F,26-35,14
1000518,F,36-45,12
1000519,F,36-45,14
1000520,F,36-45,20
1000522,M,26-35,12
1000523,M,51-55,7
1000524,M,18-25,0
1000525,M,36-45,6
1000526,M,46-50,17
1000529,M,36-45,12
1000530,M,26-35,2
1000531,F,18-25,14
1000532,M,26-35,7
1000533,M,26-35,12
1000534,M,26-35,15
1000535,M,36-45,6
1000536,M,26-35,20
1000539,M,26-35,2
1000540,M,18-25,1
1000541,F,18-25,4
1000543,M,26-35,5
1000544,M,36-45,12
1000545,M,36-45,17
1000546,F,26-35,0
1000547,M,36-45,12
1000548,F,36-45,16
1000549,M,26-35,6
1000550,M,46-50,8
1000551,M,36-45,20
1000552,M,51-55,18
1000553,M,26-35,2
1000554,M,26-35,12
1000555,M,18-25,4
1000556,F,26-35,9
1000557,M,55+,1
1000560,M,46-50,15
1000563,M,26-35,4
1000564,M,46-50,1
1000565,M,26-35,16
1000566,M,26-35,17
1000567,M,36-45,20
1000568,F,51-55,17
1000569,F,18-25,4
1000570,M,26-35,4
1000571,M,51-55,5
1000573,F,36-45,2
1000574,M,26-35,19
1000575,M,26-35,12
1000576,F,46-50,15
1000577,M,36-45,0
1000579,M,26-35,5
1000580,M,0-17,10
1000581,M,51-55,14
1000582,M,18-25,4
1000583,F,26-35,0
1000584,F,26-35,0
1000585,M,18-25,1
1000586,M,36-45,14
1000587,M,26-35,20
1000588,F,26-35,11
1000589,M,18-25,2
1000590,F,36-45,6
1000591,M,26-35,0
1000592,M,18-25,0
1000593,F,51-55,1
1000594,F,55+,13
1000595,M,26-35,7
1000596,F,26-35,1
1000597,M,36-45,12
1000598,M,36-45,7
1000599,M,51-55,6
1000600,M,36-45,17
1000601,F,18-25,20
1000602,F,55+,6
1000603,F,26-35,6
1000604,M,46-50,17
1000605,F,18-25,4
1000606,F,0-17,10
1000608,M,18-25,4
1000609,M,26-35,7
1000610,M,26-35,4
1000611,M,36-45,0
1000612,M,51-55,7
1000613,M,36-45,20
1000615,M,51-55,17
1000616,M,26-35,7
1000617,F,26-35,7
1000618,M,26-35,0
1000619,F,18-25,1
1000620,M,18-25,0
1000622,M,26-35,0
1000623,M,26-35,17
1000624,M,26-35,1
1000625,F,36-45,12
1000626,M,18-25,4
1000627,M,51-55,2
1000628,F,36-45,0
1000629,F,0-17,10
1000630,F,36-45,14
1000631,M,36-45,17
1000632,M,46-50,17
1000633,M,26-35,17
1000634,F,0-17,10
1000635,M,55+,17
1000636,M,18-25,20
1000637,M,36-45,12
1000638,M,26-35,6
1000639,M,46-50,17
1000641,F,36-45,0
1000643,M,26-35,2
1000644,M,26-35,20
1000645,M,36-45,20
1000646,M,36-45,7
1000647,M,36-45,12
1000648,F,26-35,12
1000649,M,26-35,4
1000650,M,26-35,17
1000651,M,36-45,7
1000652,M,18-25,20
1000654,M,51-55,7
1000655,F,26-35,2
1000656,F,46-50,16
1000657,F,51-55,13
1000658,F,26-35,0
1000659,F,26-35,0
1000661,M,46-50,1
1000662,M,18-25,4
1000663,F,26-35,7
1000664,M,36-45,18
1000666,F,18-25,0
1000667,M,26-35,18
1000668,F,26-35,3
1000669,M,26-35,17
1000670,M,26-35,12
1000671,M,18-25,4
1000673,M,26-35,20
1000674,M,26-35,17
1000675,M,26-35,20
1000676,M,18-25,16
1000677,M,51-55,2
1000678,M,26-35,0
1000679,M,36-45,16
1000680,M,26-35,12
1000681,M,36-45,7
1000682,M,26-35,4
1000683,M,26-35,4
1000685,M,26-35,4
1000686,M,18-25,4
1000687,F,26-35,7
1000688,M,55+,13
1000689,F,51-55,0
1000690,M,26-35,12
1000691,M,36-45,11
1000692,F,26-35,0
1000694,M,18-25,4
1000695,F,18-25,1
1000698,M,18-25,4
1000700,M,51-55,17
1000701,F,18-25,4
1000702,M,36-45,7
1000704,F,36-45,8
1000705,M,26-35,4
1000706,M,36-45,20
1000707,M,36-45,7
1000708,M,26-35,0
1000709,M,18-25,0
1000710,M,26-35,20
1000711,M,26-35,18
1000712,M,26-35,0
1000713,M,36-45,7
1000714,M,18-25,4
1000715,M,18-25,0
1000717,M,26-35,11
1000718,M,18-25,2
1000719,M,0-17,0
1000720,M,18-25,0
1000721,F,36-45,9
1000722,M,26-35,12
1000723,M,26-35,12
1000724,M,51-55,13
1000725,M,55+,11
1000726,F,26-35,9
1000727,M,36-45,11
1000728,M,26-35,6
1000729,M,36-45,12
1000730,M,26-35,0
1000731,M,46-50,3
1000732,M,26-35,7
1000733,M,36-45,16
1000734,M,26-35,7
1000735,M,26-35,14
1000736,M,18-25,12
1000737,M,0-17,19
1000738,M,18-25,17
1000739,M,36-45,12
1000740,M,26-35,14
1000741,M,26-35,5
1000742,M,18-25,0
1000743,F,0-17,2
1000744,M,26-35,17
1000746,F,18-25,19
1000748,M,26-35,0
1000749,M,36-45,18
1000750,F,36-45,9
1000751,F,26-35,17
1000752,F,26-35,3
1000753,M,0-17,10
1000754,M,36-45,7
1000755,F,36-45,0
1000756,M,36-45,0
1000757,M,26-35,12
1000758,M,36-45,7
1000759,F,55+,3
1000760,M,55+,15
1000761,M,18-25,7
1000762,M,0-17,10
1000764,M,18-25,20
1000765,M,26-35,17
1000766,F,26-35,7
1000767,M,26-35,12
1000769,M,46-50,17
1000770,M,18-25,4
1000771,F,51-55,1
1000772,M,18-25,12
1000773,M,26-35,6
1000774,M,18-25,4
1000775,M,0-17,17
1000776,F,26-35,3
1000777,M,18-25,19
1000778,M,18-25,17
1000779,M,26-35,0
1000780,M,26-35,17
1000783,M,26-35,4
1000785,M,18-25,19
1000786,M,26-35,0
1000787,M,18-25,4
1000788,M,26-35,0
1000789,M,18-25,1
1000791,M,36-45,7
1000792,M,26-35,17
1000793,F,36-45,14
1000794,M,51-55,20
1000795,F,36-45,14
1000796,M,51-55,6
1000797,F,51-55,7
1000798,F,26-35,20
1000799,F,26-35,5
1000801,F,26-35,20
1000802,M,26-35,16
1000803,M,18-25,4
1000804,M,26-35,20
1000805,M,36-45,12
1000806,M,36-45,0
1000807,M,18-25,4
1000808,M,26-35,7
1000809,M,26-35,17
1000810,M,26-35,12
1000811,M,51-55,0
1000812,M,26-35,6
1000813,M,18-25,4
1000814,F,18-25,4
1000816,M,46-50,0
1000817,M,18-25,4
1000818,M,18-25,4
1000819,M,36-45,7
1000820,M,36-45,7
1000821,M,18-25,2
1000822,F,26-35,1
1000823,M,26-35,0
1000824,M,36-45,12
1000825,M,55+,1
1000826,F,36-45,1
1000827,M,46-50,2
1000828,M,18-25,4
1000829,M,0-17,19
1000830,M,36-45,7
1000832,M,18-25,2
1000833,M,36-45,7
1000834,F,36-45,12
1000835,M,55+,0
1000836,M,26-35,11
1000837,M,55+,7
1000838,M,51-55,17
1000839,M,26-35,0
1000840,F,26-35,3
1000842,F,18-25,0
1000843,M,26-35,7
1000844,M,26-35,0
1000845,F,18-25,0
1000846,M,26-35,5
1000847,F,26-35,7
1000848,M,26-35,15
1000849,M,26-35,3
1000850,M,36-45,0
1000851,M,18-25,4
1000852,M,26-35,5
1000853,M,26-35,17
1000854,F,26-35,16
1000855,F,18-25,2
1000856,F,46-50,6
1000857,M,36-45,17
1000858,M,36-45,14
1000859,M,26-35,12
1000860,M,18-25,0
1000861,M,26-35,7
1000862,M,36-45,7
1000863,M,26-35,7
1000864,F,26-35,0
1000867,M,46-50,12
1000868,M,51-55,17
1000869,M,18-25,20
1000870,F,26-35,1
1000871,M,0-17,10
1000872,M,51-55,1
1000873,M,55+,6
1000875,M,0-17,10
1000877,M,26-35,0
1000878,M,18-25,2
1000880,M,36-45,17
1000881,M,18-25,14
1000882,M,18-25,2
1000883,F,36-45,14
1000884,M,0-17,10
1000885,M,36-45,0
1000886,F,55+,0
1000887,F,55+,16
1000888,F,0-17,10
1000889,M,46-50,20
1000890,M,18-25,4
1000891,M,26-35,1
1000892,M,36-45,0
1000894,M,18-25,4
1000895,M,51-55,1
1000896,M,18-25,15
1000897,M,26-35,6
1000898,M,26-35,7
1000899,F,26-35,1
1000900,F,55+,13
1000901,F,55+,0
1000903,M,55+,13
1000904,M,36-45,20
1000905,F,46-50,12
1000906,M,0-17,10
1000908,F,51-55,1
1000909,M,46-50,7
1000910,F,51-55,0
1000911,M,51-55,0
1000912,F,36-45,2
1000913,M,26-35,0
1000914,F,36-45,9
1000915,M,26-35,7
1000917,M,51-55,6
1000918,F,46-50,1
1000919,F,36-45,1
1000920,M,18-25,4
1000921,M,26-35,17
1000922,M,55+,16
1000923,M,26-35,7
1000924,M,51-55,17
1000925,F,36-45,3
1000926,M,0-17,10
1000927,F,26-35,20
1000928,F,55+,16
1000929,M,26-35,15
1000930,M,26-35,5
1000931,F,55+,1
1000932,F,36-45,6
1000933,M,46-50,1
1000934,F,36-45,7
1000936,M,18-25,4
1000937,M,26-35,15
1000939,F,26-35,20
1000940,M,0-17,10
1000943,F,46-50,12
1000944,M,36-45,0
1000945,M,46-50,7
1000949,M,51-55,17
1000950,M,36-45,7
1000951,M,46-50,2
1000952,M,55+,16
1000953,M,51-55,20
1000954,F,26-35,0
1000955,F,51-55,7
1000956,M,36-45,1
1000957,M,36-45,1
1000958,M,36-45,2
1000959,M,51-55,11
1000960,M,0-17,10
1000961,M,18-25,10
1000963,M,26-35,0
1000964,M,26-35,7
1000966,M,55+,2
1000967,F,18-25,0
1000968,M,51-55,12
1000969,F,26-35,11
1000970,M,26-35,0
1000971,M,26-35,12
1000972,M,46-50,1
1000973,F,26-35,1
1000974,M,36-45,19
1000975,M,36-45,0
1000976,M,36-45,14
1000977,M,26-35,2
1000978,M,18-25,0
1000979,M,0-17,10
1000980,M,26-35,6
1000981,M,26-35,20
1000982,F,26-35,9
1000983,F,26-35,16
1000984,M,51-55,16
1000985,M,26-35,4
1000986,F,55+,0
1000987,F,36-45,17
1000988,M,51-55,11
1000989,M,51-55,0
1000990,M,18-25,6
1000991,F,26-35,9
1000992,F,36-45,3
1000993,M,26-35,0
1000995,F,18-25,4
1000996,M,26-35,17
1000997,M,0-17,19
1000998,M,46-50,20
1000999,M,26-35,15
1001000,F,26-35,6
1001002,M,51-55,11
1001003,M,26-35,2
1001004,M,26-35,3
1001005,M,36-45,11
1001006,M,18-25,4
1001008,M,36-45,3
1001009,M,51-55,7
1001010,M,26-35,0
1001011,M,26-35,8
1001012,F,36-45,1
1001013,M,55+,13
1001015,M,36-45,3
1001016,M,55+,16
1001017,M,36-45,0
1001018,M,18-25,4
1001019,M,36-45,1
1001021,M,36-45,0
1001022,M,26-35,3
1001023,M,55+,13
1001024,F,36-45,1
1001025,M,26-35,16
1001026,F,46-50,0
1001027,M,18-25,4
1001028,F,46-50,7
1001029,M,26-35,0
1001030,M,26-35,7
1001031,M,36-45,16
1001032,M,51-55,16
1001033,M,26-35,5
1001035,M,18-25,2
1001036,M,36-45,7
1001037,M,46-50,7
1001038,F,55+,15
1001039,F,36-45,1
1001040,M,26-35,11
1001041,M,46-50,2
1001042,M,36-45,5
1001043,F,51-55,11
1001044,M,26-35,20
1001045,F,0-17,10
1001047,M,18-25,0
1001048,M,36-45,6
1001049,M,46-50,14
1001050,M,26-35,1
1001051,F,26-35,0
1001052,F,36-45,2
1001053,M,36-45,0
1001054,M,0-17,10
1001055,M,36-45,0
1001056,M,0-17,0
1001057,M,46-50,17
1001058,M,26-35,1
1001059,F,26-35,0
1001060,M,18-25,10
1001061,M,46-50,0
1001062,M,51-55,19
1001063,M,36-45,7
1001064,M,26-35,7
1001065,F,26-35,0
1001066,M,46-50,12
1001067,M,36-45,12
1001068,F,18-25,4
1001069,M,26-35,20
1001071,M,51-55,16
1001072,F,36-45,7
1001073,F,26-35,6
1001074,M,46-50,17
1001075,F,26-35,6
1001076,F,26-35,3
1001077,M,26-35,3
1001078,F,46-50,9
1001079,M,26-35,7
1001081,M,18-25,4
1001083,M,55+,0
1001084,M,0-17,19
1001086,M,18-25,4
1001087,M,26-35,16
1001088,F,0-17,10
1001089,M,36-45,6
1001090,M,26-35,7
1001091,M,18-25,5
1001092,F,18-25,4
1001093,M,51-55,14
1001094,F,18-25,0
1001096,M,0-17,10
1001097,M,18-25,17
1001098,M,36-45,7
1001099,M,26-35,17
1001100,M,26-35,0
1001101,M,36-45,1
1001102,M,18-25,1
1001103,F,46-50,7
1001104,M,36-45,11
1001106,M,18-25,4
1001107,F,51-55,1
1001108,M,55+,1
1001109,M,18-25,10
1001110,F,55+,6
1001111,F,51-55,16
1001112,M,18-25,6
1001113,M,18-25,4
1001114,F,18-25,9
1001116,M,26-35,15
1001117,M,18-25,14
1001118,M,51-55,13
1001119,M,36-45,1
1001120,M,18-25,4
1001121,M,55+,7
1001122,M,55+,14
1001124,M,26-35,2
1001125,F,18-25,4
1001126,M,55+,16
1001127,M,26-35,0
1001128,M,26-35,1
1001129,M,36-45,17
1001130,M,18-25,7
1001131,M,55+,13
1001132,M,18-25,12
1001133,M,18-25,2
1001134,M,18-25,20
1001135,M,51-55,13
1001136,F,36-45,7
1001137,M,18-25,4
1001138,M,18-25,12
1001139,M,26-35,1
1001140,F,46-50,2
1001141,F,26-35,3
1001142,M,18-25,1
1001143,M,51-55,7
1001145,M,51-55,3
1001146,F,18-25,16
1001147,M,26-35,20
1001148,M,36-45,17
1001149,M,26-35,12
1001150,F,26-35,20
1001151,M,26-35,15
1001152,M,18-25,4
1001153,M,18-25,10
1001155,M,26-35,12
1001156,F,51-55,2
1001158,F,36-45,1
1001159,M,18-25,0
1001160,M,18-25,14
1001161,M,26-35,0
1001162,F,36-45,0
1001163,M,0-17,10
1001164,F,26-35,19
1001165,M,26-35,12
1001166,M,55+,6
1001168,F,26-35,0
1001169,M,26-35,20
1001170,M,55+,3
1001172,F,26-35,0
1001173,F,26-35,7
1001174,F,18-25,16
1001175,F,26-35,2
1001176,M,55+,1
1001177,F,26-35,17
1001178,M,55+,0
1001179,M,51-55,1
1001180,F,51-55,20
1001181,M,36-45,7
1001182,M,0-17,10
1001183,M,36-45,19
1001184,F,26-35,4
1001185,F,36-45,1
1001186,M,18-25,19
1001187,F,0-17,0
1001188,M,46-50,7
1001189,M,26-35,0
1001190,M,46-50,0
1001191,F,36-45,0
1001193,M,26-35,12
1001194,F,26-35,1
1001195,F,0-17,10
1001196,F,18-25,14
1001198,M,0-17,10
1001199,M,51-55,13
1001201,M,18-25,4
1001202,M,36-45,12
1001203,F,26-35,1
1001204,M,26-35,7
1001205,F,55+,0
1001206,F,51-55,7
1001208,M,26-35,0
1001209,M,36-45,7
1001210,M,26-35,17
1001211,M,18-25,4
1001212,F,51-55,1
1001214,M,55+,13
1001215,M,36-45,17
1001216,M,26-35,2
1001217,M,26-35,12
1001218,M,55+,15
1001219,M,26-35,7
1001220,M,0-17,10
1001221,M,18-25,0
1001222,M,36-45,0
1001223,M,26-35,2
1001224,M,51-55,13
1001225,M,46-50,7
1001226,M,18-25,20
1001227,M,51-55,1
1001228,M,26-35,1
1001230,M,26-35,11
1001231,M,26-35,12
1001232,F,18-25,4
1001233,F,46-50,20
1001234,M,18-25,4
1001235,F,26-35,7
1001236,F,26-35,1
1001237,M,18-25,4
1001238,F,36-45,20
1001239,F,26-35,20
1001241,M,0-17,10
1001242,F,36-45,0
1001243,M,36-45,15
1001244,M,26-35,4
1001246,M,18-25,4
1001247,M,36-45,0
1001248,F,36-45,20
1001249,M,36-45,2
1001250,M,51-55,0
1001251,M,26-35,7
1001252,M,55+,13
1001253,F,36-45,20
1001254,F,18-25,1
1001255,M,26-35,17
1001256,M,26-35,20
1001257,F,18-25,14
1001258,M,46-50,7
1001259,M,36-45,7
1001260,M,26-35,17
1001261,M,18-25,4
1001262,M,26-35,4
1001263,M,0-17,10
1001264,M,26-35,1
1001265,F,18-25,20
1001266,M,26-35,4
1001267,M,26-35,15
1001268,M,51-55,2
1001269,F,55+,13
1001270,M,26-35,6
1001271,F,46-50,6
1001272,M,18-25,20
1001273,M,36-45,2
1001274,M,46-50,7
1001275,M,51-55,17
1001276,M,36-45,17
1001277,F,18-25,0
1001278,M,18-25,4
1001279,M,36-45,1
1001280,M,0-17,10
1001281,M,26-35,19
1001283,F,18-25,1
1001284,M,46-50,16
1001285,M,36-45,4
1001286,M,36-45,17
1001287,F,51-55,7
1001288,F,36-45,19
1001289,M,46-50,6
1001291,F,36-45,0
1001292,M,26-35,7
1001293,M,26-35,5
1001294,F,51-55,20
1001295,F,36-45,6
1001296,M,0-17,0
1001297,M,26-35,7
1001298,M,36-45,6
1001299,M,26-35,14
1001300,M,0-17,10
1001301,F,26-35,2
1001302,M,18-25,4
1001303,M,26-35,19
1001304,M,26-35,14
1001305,M,46-50,20
1001306,M,26-35,3
1001307,M,55+,13
1001311,M,18-25,10
1001312,M,26-35,14
1001313,M,18-25,4
